Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Adventist Development and Relief Agency (ADRA),8,ADRA-HT-10-008,Carrefour Semi-Permanent Shelter and Livelihoods Project - CSPSLP,Provide long term transitional needs for the displaced households recovering from the earthquake.,,,3/8/2010,12/7/2010,"$5,206,252","Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Disaster Management, Shelter and Housing, Water Sanitation and Hygiene","Economic Recovery, Market Systems","Adventist Development and Relief Agency, GlobalMedic, Danish People's Aid",,Office of Foreign Disaster Assistance (USAID/OFDA),," 12,500 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),9,ADRA-HT-10-009,Non-Food Item (NFI) Donations and Distributions I,"Non-Food Item (NFI) Distributions of 23 pallets of Medical Supplies, 9 pallets of tarps, sheets, 9 pallets of water, and 22 pallets of hygiene kits.",,,1/12/2010,2/28/2010,"$67,826","Health, Shelter and Non-Food Items",,"Disaster Management, Health, Shelter and Housing",,"Adventist Development and Relief Agency, Florida Hospital, Harvest Time International",,"Florida Hospital, Harvest Time International",," 6,600 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),10,ADRA-HT-10-010,Non-Food Item (NFI) Donations and Distributions II,"Distribution of 12 pallets of Hygiene Kits, 2 pallets of diapers, 20 pallets of 5 gallon buckets, 10,565 pairs of Crocs shoes.",,,1/12/2010,4/30/2010,"$131,033",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"Adventist Development and Relief Agency, Brother's Brother Foundation",,Brother's Brother Foundation,," 10,565 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),11,ADRA-HT-10-011,Non-Food Item (NFI) Donations and Distributions III,"Distribution of 89 pallets of towels, flashlights, and kitchen items, 4000 plastic 5 gallon buckets with lids.",,,2/1/2010,4/30/2010,"$497,023",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,Adventist Development and Relief Agency Network,,Private donations,," 4,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),12,ADRA-HT-10-012,Non-Food Item (NFI) Donations and Distributions IV,"Distribution of 10 pallets of medical equipment and supplies, 10 pallents of hygiene kits.",,,3/1/2010,3/31/2010,"$83,425","Health, Shelter and Non-Food Items",,"Disaster Management, Health, Shelter and Housing",,"Florida Hospital, International Aid, Adventist Development and Relief Agency Network",,"Florida Hospital, International Aid, ADRA Network",," 5,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),13,ADRA-HT-10-013,Trekker Water Purification,"Water purification units using a motorcycle to power the system called trekker units, 20 units.",,,2/1/2010,7/29/2010,"$40,000",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,"GlobalMedic, Adventist Development and Relief Agency Network",,Private donations,," 702,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),14,ADRA-HT-10-014,Aquatab Tablet Distribution,Distribution of 5 million Aquatab water purification tablets in association with the afforementioned clean drinking water program.,,,2/1/2010,3/31/2010,"$50,000",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,"GlobalMedic, Adventist Development and Relief Agency Network",,Private donations,," 250,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),15,ADRA-HT-10-015,PUR Water Purifier Sachets,"Distribution of 110,000 sachets of PUR Purifier of Water.",,,2/1/2010,3/31/2010,"$3,850",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,"GlobalMedic, Adventist Development and Relief Agency Network",,Private donations,," 110,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),16,ADRA-HT-10-016,Oral Rehydration Sachets Distribution,"Distribution of 55,000 sachets of Oral Rehydration Salts to health clincs and hospitals.",,,2/1/2010,3/31/2010,"$2,000",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,"GlobalMedic, Adventist Development and Relief Agency Network",,GlobalMedic,," 15,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),17,ADRA-HT-10-017,Non-Food Item (NFI) Tent Distribution,220 Family Sized Tents.,,,3/1/2010,3/31/2010,"$55,000",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"GlobalMedic, Adventist Development and Relief Agency Network",,GlobalMedic,," 1,100 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),18,ADRA-HT-10-018,Medical Supply Distribution,"Essential medicines distributed including Sodium Chloride, Penicillin, and Lidocaine - donated",,,2/1/2010,3/31/2010,"$300,000",Health,,Health,,"GlobalMedic, Adventist Development and Relief Agency Network",,GlobalMedic,," 5,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),19,ADRA-HT-10-019,Inflatable Field Hospital,"Installation of two 22 foot x 42 foot inflatable field hospitals which treated over 7,000 patients on the Adventist University in Carrefour and Adventist Hospital in Carrefour.",,,2/1/2010,12/30/2010,"$64,000",Health,,Health,,"GlobalMedic, Adventist Development and Relief Agency Network",,GlobalMedic,," 7,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),20,ADRA-HT-10-020,Non-Food Item (NFI) Distributions,Distribution of 12 portable generators.,,,3/1/2010,4/30/2010,"$15,000",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"GlobalMedic, Adventist Development and Relief Agency Network",,GlobalMedic,," 2,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),21,ADRA-HT-10-021,Water Unit Distribution,Distribution of 250 Family sized water units - donated,,,3/1/2010,4/30/2010,"$12,500",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"GlobalMedic, Adventist Development and Relief Agency Network",,GlobalMedic,," 1,250 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
Adventist Development and Relief Agency (ADRA),22,ADRA-HT-10-022,Non-Food Item (NFI) Distributions II,Distribution of 1200 hand crank flashlights - donated,,,2/1/2010,3/31/2010,"$4,800",Shelter and Non-Food Items,,"Disaster Management, Shelter and Housing",,"GlobalMedic, Adventist Development and Relief Agency Network",,GlobalMedic,," 1,200 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Carrefour,,,,,Andrew Lucas,Program Director,andrew.lucas@adra.org,,24-Aug-10,,
All Hands Volunteers,1,HODR-HT-10-001,Joint Logistics Base,"In cooperation with the World Food Programme, All Hands has developed a Joint Logistics Base which covers roughly five acres and offers more than 21,000 square feet of enclosed, dry, and secure fabrication/storage space for NGOs working in Léogâne.",,,5/1/2010,12/31/2011,,Shelter and Non-Food Items,,Disaster Management,,"All Hands Volunteers, World Food Program (WFP), Friends of ACTED, CHF International, Canadian Red Cross, Cordaid, Tearfund",,World Food Program (WFP),,  ,,,Haiti,Ouest,Léogâne,Léogâne,,,,,Michal Jelinek,JLB Manager,miso@hands.org,,09-Oct-10,,
All Hands Volunteers,2,HODR-HT-10-002,Community Rubble Clearing,The  earthquake left over 1.3 million cubic meters of rubble in Léogâne.  This  presents a significant obstacle to rebuilding and transitional shelter programs.  All Hands manually clears rubble and performs demolition on partially collapsed homes that present a hazard to the community.,,,2/15/2010,12/31/2011,,Shelter and Non-Food Items,,Disaster Management,,All Hands Volunteers,,,,  ,,,Haiti,Ouest,Léogâne,Léogâne,,,,,,,info@hands.org,,09-Oct-10,,
All Hands Volunteers,3,HODR-HT-10-003,Transitional Schools,All Hands has completed four schools in the Léogâne area giving children and their families the opportunity to return to a normal daily routine. With several more already funded and in the planning stages.,,,4/26/2010,12/31/2011,,Education,,Education,,All Hands Volunteers,,,,  ,,,Haiti,Ouest,Léogâne,Léogâne,,,,,,,info@hands.org,,09-Oct-10,,
All Hands Volunteers,4,HODR-HT-10-004,Disaster Risk Reduction Education,All Hands volunteers developed a disaster risk reduction (DRR) program to educate teachers on the science of natural disasters and how they can best prepare their students and classrooms for such an event.,,,5/1/2010,12/31/2011,,Education,,Education,,All Hands Volunteers,,,,  ,,,Haiti,Ouest,Léogâne,Léogâne,,,,,,,info@hands.org,,09-Oct-10,,
All Hands Volunteers,5,HODR-HT-10-005,Biosand Water Filters,"All Hands plans to deliver filters for each of the transitional schools planned for Léogâne in 2010, and one filter to between 300 and 500 families: an estimated total of  3,500 to 4,500 local residents.",,,8/1/2010,12/31/2011,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,All Hands Volunteers,,,,  ,,,Haiti,Ouest,Léogâne,Léogâne,,,,,,,info@hands.org,,09-Oct-10,,
